Commune,proportion23_6,prop_acc_autouroute,age,Hiver,Automne,Printemps,Ete,Plein_jour,Crepuscule_ou_aube,Nuit_s_eclairage_public,Nuit_a_eclairage_public_n_allume,Nuit_a_eclairage_public_allume,M,F,Conducteur,Passager,Pieton,prop_acc_deux_roues,prop_acc_quatre_roues,prop_acc_bus_train,Superficie,prop_chaumage,prop_actif,score_norm,score_bin,score_multi
85182,0.0,0.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,36.65,0.043657526887871695,0.4633469763673223,0.2839150591867106,0,1
26124,0.0,0.0,45.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.67,0.33,0.0,42.79,0.05126730505786866,0.4931472440855,0.48310862820406925,1,2
19264,0.0,0.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,42.8,0.05926609933178043,0.36673383307086566,0.2519371746949009,0,1
88116,0.0,0.0,75.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,40.23,0.047434410843148825,0.4017090710182353,0.5161153094711983,1,2
60577,1.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.9,0.06330512327426156,0.42790233936032007,0.2519371746949009,0,1
57616,0.0,0.0,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.5,0.5,0.0,4.55,0.042497371360131334,0.4979393390289742,0.2839150591867106,0,1
45188,0.0,0.0,39.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.5,0.5,0.0,34.36,0.03928532522834125,0.514534246235012,0.2839150591867106,0,1
27203,0.0,0.5,49.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,11.27,0.02603036876355753,0.5357917570498912,0.33204084611031676,0,1
43165,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,26.82,0.04197082820433181,0.44402123865939647,0.5287184507870433,1,2
47178,0.0,0.0,34.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,10.99,0.05653439156949726,0.4369352587693358,0.45500295889164705,1,2
68311,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,24.72,0.05314975775902207,0.5172023867192626,0.21716853553612048,0,1
83007,0.0,0.0,43.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,6.0,2.0,0.0,0.5,0.33,0.0,64.15,0.068656995962831,0.4020768461770578,0.5799616930427469,1,2
31069,0.1,0.05,34.0,0.2857142857142857,0.38095238095238093,0.14285714285714285,0.19047619047619047,0.6666666666666666,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.5714285714285714,0.42857142857142855,40.0,9.0,2.0,0.2,0.7,0.03,16.88,0.06031181274196827,0.5357167653714084,0.9593343102087402,1,3
16089,0.0,0.0,48.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,20.0,1.0,2.0,0.6,0.35,0.0,13.31,0.04921157083811452,0.4394027803356113,0.8455228819044995,1,3
82023,1.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.48,0.06606967606154682,0.4960042218549937,0.2519371746949009,0,1
62471,0.0,1.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.74,0.04865637565866257,0.5019041591378499,0.2519371746949009,0,1
32132,0.0,0.0,48.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.25,0.75,0.0,43.32,0.0627978445990947,0.3937726991803748,0.30592310397259365,0,1
81145,0.0,0.0,62.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,4.0,1.0,1.0,0.25,0.75,0.0,86.56,0.05949667195026946,0.441937698155278,0.6747816571100902,1,3
66147,0.0,0.0,28.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.25,0.75,0.0,49.42,0.0565944992717678,0.5095143396446791,0.5799616930427469,1,2
21235,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.33,0.0,0.49056603773584906,0.5038743493898019,1,2
70388,0.2,0.0,55.0,0.8,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.2,0.6,0.4,7.0,0.0,2.0,0.29,0.57,0.0,8.64,0.06956603786039384,0.45840910825795345,0.737096176809199,1,3
73010,0.0,0.2,42.0,0.2,0.0,0.2,0.6,0.8,0.0,0.2,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.3,0.6,0.0,51.9,0.02775983476718638,0.5187625390053634,0.638858999694045,1,2
